"css-175oi2r href","css-9pa8cd src","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-1jxf684 8","css-1jxf684 9","css-1jxf684 11","css-1jxf684 12","css-1jxf684 13","css-1jxf684 19","css-146c3p1 4","css-1jxf684 href 3","css-1jxf684 25","css-1jxf684 26","css-1jxf684 href 4","css-1jxf684 27"
"https://x.com/BlendrNews","https://pbs.twimg.com/profile_images/1783146746719113216/R_U2hF7l_bigger.jpg","BlendrNews","@BlendrNews","·","May 14","Canada faces an economic crossroads:

-","Unemployment","rose to 6.9%
- 15.4% of young men are jobless
- Women (25–54) lost 60K jobs in April
- 3.6K manufacturing jobs vanished
- 26.8K retail jobs disappeared

Canada’s future hinges on our next steps.","59","414","39K","","","","","","","","",""
"https://x.com/valdombre","https://pbs.twimg.com/profile_images/1882316065650421760/PxVHaypA_bigger.jpg","Riley Donovan","@valdombre","·","Jun 8","Canada's","unemployment","rate has now hit 7%. 

Why is the federal government still approving new foreign worker visas?","388","660","117K","","","","","","","","",""
"https://x.com/Tablesalt13","https://pbs.twimg.com/profile_images/1922651241483472896/IntZ5Yo5_bigger.jpg","Tablesalt","@Tablesalt13","·","Jun 26","BREAKING","CANADIAN","YOUTH","139","696","68K","UNEMPLOYMENT","INCREASING FASTER THAN ANY OTHER ADVANCED NATION 

traditional jobs worked by","","","","","","",""
"https://x.com/MelissaLMRogers","https://pbs.twimg.com/profile_images/1602837419723788289/sEfGxN4w_bigger.jpg","Melissa","@MelissaLMRogers","·","Jun 6","Canada just posted a 7%","UNEMPLOYMENT","rate. Up from 6.9% in April. Continuing the manufactured DECLINE of this Country","37","94","4.5K","","","","","","","","",""
"https://x.com/bitckoni05794","https://pbs.twimg.com/profile_images/1666312192323645441/sqkL5Ovy_bigger.jpg","bitckoni","@bitckoni05794","·","Jun 11","","Canadian","Rate Has Now Hit 7%","","","2","Unemployment","","","","","","","",""
"https://x.com/BetterDwelling","https://pbs.twimg.com/profile_images/430850174634569728/4mcTUYol_bigger.png","Better Dwelling","@BetterDwelling","·","Jul 14","Youth","Canadian","at Recession Levels, The Kids Are Not Alright: BMO","9","22","4.5K","Unemployment","","Canadian Youth Unemployment at Recession Levels. The Kids Are Not Alright: BMO - Better Dwelling","","","","","",""
"https://x.com/bitcko01153376","https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png","Bitcko011","@bitcko01153376","·","Jun 11","","Canadian","Rate Has Now Hit 7%","","","2","Unemployment","","","","","","","",""
"https://x.com/Anthony__Koch","https://pbs.twimg.com/profile_images/1833158754793062400/GTrWw9lo_bigger.jpg","Anthony Koch","@Anthony__Koch","·","Jun 19","And yet, the","Canadian","youth (15-24)","2","3","2.5K","unemployment","rate in May 2025 was 12.2% a rise from 11.6% a year ago.

Curious!","Quote","","","","","",""
"https://x.com/WeAreCanProud","https://pbs.twimg.com/profile_images/1856412712122667008/YaZJYZY6_bigger.jpg","Canada Proud","@WeAreCanProud","·","Jun 7, 2024",": Canada's","unemployment","rate grew to 6.2% in May as job creation continues to fail to keep pace with unprecedented population growth.","40","106","8.8K","","","","","","","","",""
"https://x.com/HutchElle","https://pbs.twimg.com/profile_images/1857511876940161024/CBk6LHXl_bigger.jpg","Elle Hutch","@HutchElle","·","1h","Isn't the","Canadian","","21","","185","unemployment","rate at its highest?

Why can the government subsidize foreign workers but not local Canadians workers?","","Replying to","https://x.com/FoodProfessor","@FoodProfessor","","",""
"https://x.com/Marcovitch48136","https://pbs.twimg.com/profile_images/1835094459375038464/iU--zh3s_bigger.jpg","not so happy Canadian","@Marcovitch48136","·","Jul 11","The growth contributed little to the growth of the economy but helped to keep the","unemployment","rate low.","3","","105","","","","Replying to","https://x.com/RichardDias_CFA","@RichardDias_CFA","and","https://x.com/cbcwatcher","@cbcwatcher"
"https://x.com/Roman_Baber","https://pbs.twimg.com/profile_images/1396050064246812673/B6BByb4-_bigger.jpg","Roman Baber","@Roman_Baber","·","Jul 13","graduates ages 15 to 24 are facing the highest","Canadian","rate since the mid 90s.

Liberal immigration & economic policies are rendering a generation of Canadians destitute!","261","468","53K","unemployment","","Gen Z is facing the worst youth unemployment rate in decades. Here is how it's different | CBC News","","","","","",""
"https://x.com/CanPoliticWatch","https://pbs.twimg.com/profile_images/1811114388650168320/BSG7SRqn_bigger.jpg","Canadian Political Watch","@CanPoliticWatch","·","Jun 11","THE","CANADIAN","GENERATIONAL","","","6","UNEMPLOYMENT","CRISIS!!!","THE CANADIAN GENERATIONAL UNEMPLOYMENT CRISIS!!!","","","","","",""
"https://x.com/grok","https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_bigger.jpg","Grok","@grok","·","Jun 29","","Canadian","","","","29","Canadian","The ""buy","and 2 others","Replying to","https://x.com/hitaskunk","@hitaskunk","@JohnCMurdock","https://x.com/vflesq","@vflesq"
"https://x.com/KirkLubimov","https://pbs.twimg.com/profile_images/1495184723869515779/5IGDtdsF_bigger.jpg","Kirk Lubimov","@KirkLubimov","·","Jul 2","Remember when the Liberal government was so worried about youth","unemployment","in Iraq that Ahmed, who will find any excuse to send","65","730","34K","Canadian","taxpayers' money to Muslim countries, sent them $10M?

Now Canada has record youth","","","","","","",""
"https://x.com/MarcNixon24","https://pbs.twimg.com/profile_images/1831222979092770816/BE_0gt5__bigger.jpg","Marc Nixon","@MarcNixon24","·","May 9","Over 1.5 million Canadians are unemployed right now. 

This is the highest level since 2008/9 and 1990s (excluding lockdowns) 

BOC warning","","economic downward spiral","133","395","34K","","Buckle up","","","","","","",""
"https://x.com/valdombre","https://pbs.twimg.com/profile_images/1882316065650421760/PxVHaypA_bigger.jpg","Riley Donovan","@valdombre","·","May 9","The latest stats are out: Canada's","unemployment","rate is now 6.9%.

And the business lobby still tells us we need mass immigration to fix a ""labour shortage"".","23","79","6.4K","","","","","","","","",""
"https://x.com/MelissaLMRogers","https://pbs.twimg.com/profile_images/1602837419723788289/sEfGxN4w_bigger.jpg","Melissa","@MelissaLMRogers","·","Sep 6, 2024","Canada's","unemployment","","166","441","47K","","rate SURGES to 6.6%, 7 year HIGH excluding the pandemic","","","","","","",""
